acc,std,method,num_shots,tasks
96.768,1.3909,LinearProbe_P2,1,10
95.192,2.8444,LinearProbe_P2,2,10
97.192,1.0984,LinearProbe_P2,4,10
97.744,1.106,LinearProbe_P2,8,10
98.152,0.6432,LinearProbe_P2,16,10
95.64,1.7033,LinearProbe_P2,1,10
96.648,1.1084,LinearProbe_P2,2,10
97.016,1.5058,LinearProbe_P2,4,10
97.76,1.1314,LinearProbe_P2,8,10
98.216,0.64,LinearProbe_P2,16,10
98.912,0.5315,LinearProbe_P2,16,5
97.632,1.8923,LinearProbe_P2,8,5
96.512,2.903,LinearProbe_P2,4,5
95.76,1.7387,LinearProbe_P2,2,5
94.928,2.431,LinearProbe_P2,1,5
97.424,0.7426,LinearProbe_P2,1,5
93.488,4.7435,LinearProbe_P2,2,5
97.424,1.941,LinearProbe_P2,4,5
97.696,1.9,LinearProbe_P2,8,5
98.72,0.6334,LinearProbe_P2,16,5
98.384,0.4866,TIPAdapter-F,16,5
98.512,0.3092,TIPAdapter-F,8,5
97.088,1.0732,TIPAdapter-F,4,5
98.08,0.0,TIPAdapter-F,2,5
97.376,0.8349,TIPAdapter-F,1,5
97.728,0.471,TIPAdapter-F,1,10
98.344,0.3274,TIPAdapter-F,2,10
97.608,0.6429,TIPAdapter-F,4,10
98.424,0.4904,TIPAdapter-F,8,10
98.656,0.3716,TIPAdapter-F,16,10
97.96,0.237,TIPAdapter-F,16,10
97.952,0.1763,TIPAdapter-F,8,10
98.016,0.7821,TIPAdapter-F,4,10
98.24,0.2419,TIPAdapter-F,2,10
98.264,0.2045,TIPAdapter-F,1,10
98.016,0.2363,TIPAdapter-F,1,5
97.984,0.336,TIPAdapter-F,2,5
97.504,1.4174,TIPAdapter-F,4,5
97.776,0.093,TIPAdapter-F,8,5
97.792,0.1913,TIPAdapter-F,16,5
