acc,std,method,num_shots,tasks
82.3573,5.4824,LinearProbe_P2,2,5
82.3573,5.4824,LinearProbe_P2,2,5
81.3973,5.0753,LinearProbe_P2,2,5
72.352,12.5171,LinearProbe_P2,1,5
74.1547,10.9918,LinearProbe_P2,1,5
87.3707,3.0995,LinearProbe_P2,4,5
82.8907,8.2825,LinearProbe_P2,8,5
82.8907,8.2825,LinearProbe_P2,8,5
83.6373,6.9748,LinearProbe_P2,8,5
87.0613,3.2963,LinearProbe_P2,4,5
88.0107,2.8334,LinearProbe_P2,16,5
87.616,2.4541,LinearProbe_P2,16,5
89.7493,1.8827,LinearProbe_P2,16,10
90.0,1.962,LinearProbe_P2,16,10
83.8347,4.2965,LinearProbe_P2,8,10
85.8987,3.8003,LinearProbe_P2,4,10
80.7733,5.1256,LinearProbe_P2,2,10
78.3253,9.5769,LinearProbe_P2,1,10
75.0,7.0155,LinearProbe_P2,1,20
78.4907,9.5758,LinearProbe_P2,1,10
81.312,5.3975,LinearProbe_P2,2,10
86.1493,3.8714,LinearProbe_P2,4,10
83.392,4.7468,LinearProbe_P2,8,10
83.9413,4.5476,TIPAdapter-F,8,10
90.0747,1.6959,TIPAdapter-F,16,10
81.6907,5.8003,TIPAdapter-F,4,10
76.6613,4.6936,TIPAdapter-F,2,10
79.8773,6.4917,TIPAdapter-F,1,10
91.936,2.1786,TIPAdapter-F,16,5
89.504,2.8073,TIPAdapter-F,8,5
84.256,4.2732,TIPAdapter-F,4,5
74.3573,3.4582,TIPAdapter-F,2,5
73.4613,4.0578,TIPAdapter-F,1,5
72.2133,1.7082,TIPAdapter-F,1,5
71.6373,1.751,TIPAdapter-F,2,5
80.6933,1.6023,TIPAdapter-F,4,5
81.2907,3.6578,TIPAdapter-F,8,5
88.0427,2.6265,TIPAdapter-F,16,5
86.256,2.1188,TIPAdapter-F,16,10
80.0747,2.4592,TIPAdapter-F,8,10
77.9787,2.252,TIPAdapter-F,4,10
73.3867,1.4946,TIPAdapter-F,2,10
72.4587,1.1656,TIPAdapter-F,1,10
66.9867,22.4248,LinearProbe,1,5
70.0053,11.0043,LinearProbe,2,5
75.04,8.5477,LinearProbe,4,5
87.104,2.2403,LinearProbe,8,5
82.7307,12.2215,LinearProbe,16,5
2.9013,4.4378,COOP,2,5
2.9013,4.4378,COOP,4,5
71.1253,17.7718,COOP,4,5
72.4693,10.8424,COOP,4,5
46.8053,23.3714,COOP,1,5
69.7067,13.2494,COOP,1,5
69.7067,10.5829,COOP,4,5
71.1253,17.7718,COOP,4,5
36.7573,18.9667,COOP,2,5
69.7067,13.2494,COOP,1,5
46.8053,23.3714,COOP,1,5
43.9467,25.1197,COOP,1,5
49.2587,24.5711,COOP,1,5
48.5867,22.0852,COOP,2,5
69.7067,10.5829,COOP,4,5
87.04,3.7231,COOP,8,5
84.9173,2.3796,ClipAdapter,16,5
77.376,11.0905,ClipAdapter,8,5
72.5547,10.7199,ClipAdapter,8,5
71.584,10.1375,ClipAdapter,8,5
78.5173,11.6541,ClipAdapter,8,5
71.776,3.251,ClipAdapter,8,5
