acc,std,method,num_shots,tasks
65.5231,1.5733,LinearProbe_P2,16,5
65.5231,1.5733,LinearProbe_P2,16,5
65.5231,1.5733,LinearProbe_P2,16,5
65.5231,1.5733,LinearProbe_P2,16,5
61.6117,4.2771,LinearProbe_P2,8,5
49.8869,3.5754,LinearProbe_P2,4,5
51.5457,3.3625,LinearProbe_P2,2,5
43.8077,6.3169,LinearProbe_P2,1,5
43.591,6.3943,LinearProbe_P2,1,5
43.8077,6.3169,LinearProbe_P2,1,5
51.3101,2.9688,LinearProbe_P2,2,5
51.5457,3.3625,LinearProbe_P2,2,5
51.5457,3.3625,LinearProbe_P2,2,5
51.5457,3.3625,LinearProbe_P2,2,5
51.5457,3.3625,LinearProbe_P2,2,5
51.5457,3.3625,LinearProbe_P2,2,5
46.2582,5.6987,ClipAdapter,2,5
50.3016,3.1854,ClipAdapter,2,5
50.3016,3.1854,ClipAdapter,2,5
51.5174,3.181,LinearProbe_P2,2,5
33.3836,11.2458,COOP,2,5
32.5071,8.9139,COOP,2,5
30.0377,9.1299,COOP,1,5
