acc,std,method,num_shots,tasks
79.4964,2.3205,LinearProbe_P2,2,5
64.4016,3.8571,LinearProbe_P2,1,5
84.4474,1.4758,LinearProbe_P2,4,5
87.8192,0.6769,LinearProbe_P2,8,5
90.0926,0.488,LinearProbe_P2,16,5
90.0284,0.5019,LinearProbe_P2,16,10
88.2705,0.6229,LinearProbe_P2,8,10
85.2057,1.0643,LinearProbe_P2,4,10
80.4112,1.494,LinearProbe_P2,2,10
70.2726,4.2567,LinearProbe_P2,1,10
65.7816,2.5259,TIPAdapter-F,1,5
79.2204,1.5248,TIPAdapter-F,2,5
84.923,1.6788,TIPAdapter-F,4,5
88.744,1.0029,TIPAdapter-F,8,5
91.963,0.6667,TIPAdapter-F,16,5
91.5556,0.5604,TIPAdapter-F,16,10
89.24,0.7956,TIPAdapter-F,8,10
85.5053,0.9773,TIPAdapter-F,4,10
80.2047,1.1821,TIPAdapter-F,2,10
70.8562,3.6109,TIPAdapter-F,1,10
70.2726,4.2567,LinearProbe_P2,1,10
80.8988,1.0121,LinearProbe_P2,2,10
85.3723,1.1336,LinearProbe_P2,4,10
88.6603,0.5211,LinearProbe_P2,8,10
88.2705,0.6229,LinearProbe_P2,8,10
88.4828,0.5896,LinearProbe_P2,8,10
88.6542,0.5031,LinearProbe_P2,8,10
91.188,0.651,LinearProbe_P2,16,10
91.3582,0.6754,LinearProbe_P2,16,10
70.3703,4.2294,LinearProbe_P2,1,10
64.5658,3.8967,LinearProbe_P2,1,5
80.4676,1.2535,LinearProbe_P2,2,5
84.75,1.7417,LinearProbe_P2,4,5
88.2794,0.7373,LinearProbe_P2,8,5
91.7946,1.0023,LinearProbe_P2,16,5
91.31,0.6561,LinearProbe_P2,16,10
91.3582,0.6754,LinearProbe_P2,16,10
91.3582,0.6754,LinearProbe_P2,16,10
91.3582,0.6754,LinearProbe_P2,16,10
91.3582,0.6754,LinearProbe_P2,16,10
91.3582,0.6754,LinearProbe_P2,16,10
91.3582,0.6754,LinearProbe_P2,16,10
91.2057,0.7888,LinearProbe_P2,16,10
91.2209,0.8342,LinearProbe_P2,16,10
89.817,0.468,LinearProbe_P2,16,5
91.6236,1.363,LinearProbe_P2,16,5
71.249,3.8499,LinearProbe_P2,1,5
81.9346,0.9485,LinearProbe_P2,2,5
86.1882,1.4789,LinearProbe_P2,4,5
89.0966,0.7848,LinearProbe_P2,8,5
91.6236,1.363,LinearProbe_P2,16,5
91.2057,0.7888,LinearProbe_P2,16,10
89.481,0.6405,LinearProbe_P2,8,10
86.5285,0.7828,LinearProbe_P2,4,10
82.5997,0.9397,LinearProbe_P2,2,10
75.3309,3.3342,LinearProbe_P2,1,10
91.9996,0.7887,TIPAdapter-F,16,5
89.2136,0.8668,TIPAdapter-F,8,5
86.7338,1.7171,TIPAdapter-F,4,5
81.7044,1.1185,TIPAdapter-F,2,5
73.138,3.1669,TIPAdapter-F,1,5
69.9906,3.5572,LinearProbe_P2,1,5
81.2928,1.1407,LinearProbe_P2,2,5
81.7044,1.1185,TIPAdapter-F,2,5
73.138,3.1669,TIPAdapter-F,1,5
86.7338,1.7171,TIPAdapter-F,4,5
89.2136,0.8668,TIPAdapter-F,8,5
91.9996,0.7887,TIPAdapter-F,16,5
91.5275,0.6085,TIPAdapter-F,16,10
89.5518,0.6528,TIPAdapter-F,8,10
86.7024,0.8859,TIPAdapter-F,4,10
81.6287,1.6094,TIPAdapter-F,2,10
76.6571,2.7828,TIPAdapter-F,1,10
51.2066,0.1494,TIPAdapter-F,1,10
54.2788,0.7131,TIPAdapter-F,2,10
61.5854,1.4642,TIPAdapter-F,4,10
78.1772,0.5583,TIPAdapter-F,8,10
85.8989,0.307,TIPAdapter-F,16,10
86.2308,0.1922,TIPAdapter-F,16,5
78.1562,0.9174,TIPAdapter-F,8,5
62.0146,1.7121,TIPAdapter-F,4,5
53.8798,0.7611,TIPAdapter-F,2,5
51.1678,0.2305,TIPAdapter-F,1,5
78.7002,2.3105,LinearProbe,2,5
70.4128,3.0024,LinearProbe,1,5
85.2176,0.7318,LinearProbe,4,5
88.6254,1.0566,LinearProbe,8,5
91.8448,0.7622,LinearProbe,16,5
49.8286,5.4799,COOP,1,5
26.7802,6.1627,COOP,1,5
49.8286,5.4799,COOP,1,5
60.1094,6.605,COOP,2,5
62.5806,4.6535,COOP,4,5
84.9086,1.5037,COOP,8,5
89.6308,0.97,COOP,16,5
90.6196,1.0644,COOP,16,5
87.2004,1.6836,COOP,8,5
74.3548,6.0975,COOP,4,5
71.2268,2.4655,COOP,2,5
56.2626,8.6425,COOP,1,5
62.7966,7.9104,ClipAdapter,1,5
58.643,5.4309,ClipAdapter,1,5
68.2362,8.2872,ClipAdapter,1,5
77.2132,3.1105,ClipAdapter,2,5
83.6112,2.0309,ClipAdapter,4,5
87.345,0.8881,ClipAdapter,8,5
90.238,0.6968,ClipAdapter,16,5
