acc,std,method,num_shots,tasks
60.9331,0.0,TIPAdapter-F,8,1
60.9331,0.0,TIPAdapter-F,8,1
58.9538,2.875,TIPAdapter-F,8,10
53.8973,4.3214,TIPAdapter-F,4,10
47.9359,4.9256,TIPAdapter-F,2,10
41.1828,5.9001,TIPAdapter-F,1,10
65.7446,2.3784,TIPAdapter-F,16,10
54.1376,3.841,LinearProbe_P2,8,10
62.0971,2.6294,LinearProbe_P2,8,10
67.3186,1.8748,LinearProbe_P2,16,10
54.18,3.5737,LinearProbe_P2,4,10
48.6805,2.7552,LinearProbe_P2,2,10
42.5636,5.3837,LinearProbe_P2,1,10
42.5636,5.3837,LinearProbe_P2,1,10
43.1385,7.1318,LinearProbe_P2,1,5
51.4515,4.1226,LinearProbe_P2,2,5
53.4684,5.5092,LinearProbe_P2,4,5
62.1583,3.1207,LinearProbe_P2,8,5
67.6437,1.3435,LinearProbe_P2,16,5
65.9943,1.7868,TIPAdapter-F,16,5
59.8398,3.7099,TIPAdapter-F,8,5
52.7615,7.1049,TIPAdapter-F,4,5
52.6202,5.4208,TIPAdapter-F,2,5
40.0566,7.8043,TIPAdapter-F,1,5
52.6202,5.4208,TIPAdapter-F,2,5
67.6343,1.3666,LinearProbe_P2,16,5
62.2432,3.1356,LinearProbe_P2,8,5
53.3176,5.4439,LinearProbe_P2,4,5
51.4326,4.2086,LinearProbe_P2,2,5
43.1008,7.1034,LinearProbe_P2,1,5
42.8652,7.1247,LinearProbe_P2,1,5
51.8662,3.9839,LinearProbe_P2,2,5
52.8841,4.979,LinearProbe_P2,4,5
62.1112,3.0087,LinearProbe_P2,8,5
66.4373,1.7048,LinearProbe_P2,16,5
40.0566,7.8043,TIPAdapter-F,1,5
52.6202,5.4208,TIPAdapter-F,2,5
42.3186,5.7875,LinearProbe_P2,1,10
48.2234,2.8429,LinearProbe_P2,2,10
53.6475,2.987,LinearProbe_P2,4,10
60.5231,2.6673,LinearProbe_P2,8,10
65.7587,1.9928,LinearProbe_P2,16,10
65.7493,1.0732,LinearProbe_P2,16,5
61.6117,4.2771,LinearProbe_P2,8,5
49.8869,3.5754,LinearProbe_P2,4,5
51.5457,3.3625,LinearProbe_P2,2,5
43.8077,6.3169,LinearProbe_P2,1,5
43.591,6.3943,LinearProbe_P2,1,5
50.2733,2.2882,LinearProbe_P2,2,5
48.9067,3.3438,LinearProbe_P2,4,5
59.9623,5.7914,LinearProbe_P2,8,5
66.7012,0.797,LinearProbe_P2,16,5
66.4703,1.6258,LinearProbe_P2,16,10
60.1272,3.5722,LinearProbe_P2,8,10
53.5061,3.4326,LinearProbe_P2,4,10
47.5589,2.2603,LinearProbe_P2,2,10
42.1631,5.9427,LinearProbe_P2,1,10
36.4939,4.9944,TIPAdapter-F,1,10
45.5891,5.1137,TIPAdapter-F,2,10
65.4194,2.1704,TIPAdapter-F,16,10
58.5344,3.0703,TIPAdapter-F,8,10
52.6296,3.6859,TIPAdapter-F,4,10
45.5891,5.1137,TIPAdapter-F,2,10
36.4939,4.9944,TIPAdapter-F,1,10
35.9095,7.3894,TIPAdapter-F,1,5
51.1027,4.5862,TIPAdapter-F,2,5
49.689,5.4182,TIPAdapter-F,4,5
58.181,3.7392,TIPAdapter-F,8,5
65.7116,0.5661,TIPAdapter-F,16,5
27.0217,0.089,TIPAdapter-F,1,5
27.2196,0.2963,TIPAdapter-F,2,5
28.3412,0.5036,TIPAdapter-F,4,5
32.0358,1.5319,TIPAdapter-F,8,5
46.7201,2.9982,TIPAdapter-F,16,5
47.1913,1.7272,TIPAdapter-F,16,10
31.9698,1.1728,TIPAdapter-F,8,10
28.1857,0.4088,TIPAdapter-F,4,10
27.1772,0.1806,TIPAdapter-F,2,10
26.8426,0.2074,TIPAdapter-F,1,10
43.6381,6.9257,LinearProbe,1,5
52.9218,2.195,LinearProbe,2,5
63.4779,2.083,LinearProbe,16,5
60.0754,2.5684,LinearProbe,8,5
52.8181,5.7513,LinearProbe,4,5
52.8181,5.7513,LinearProbe,4,5
52.9218,2.195,LinearProbe,2,5
43.6381,6.9257,LinearProbe,1,5
42.9312,5.1551,LinearProbe,1,10
35.2309,8.0959,COOP,1,5
32.5071,8.9139,COOP,2,5
47.0123,8.0292,COOP,4,5
48.3035,6.5063,COOP,8,5
64.213,2.3916,COOP,16,5
38.9727,11.5602,ClipAdapter,1,5
50.3016,3.1854,ClipAdapter,2,5
50.9802,6.2929,ClipAdapter,4,5
59.6418,2.9127,ClipAdapter,8,5
66.9557,1.1838,ClipAdapter,16,5
