acc,std,method,num_shots,tasks
58.49,4.0862,LinearProbe_P2,2,5
41.0749,6.0825,LinearProbe_P2,1,5
67.7349,3.7862,LinearProbe_P2,4,5
74.8579,1.7201,LinearProbe_P2,8,5
80.7062,0.9768,LinearProbe_P2,16,5
77.0541,1.2118,LinearProbe_P2,16,5
72.5397,2.6828,LinearProbe_P2,8,5
66.0937,3.5147,LinearProbe_P2,4,5
58.2952,3.931,LinearProbe_P2,2,5
41.2982,6.2339,LinearProbe_P2,1,5
52.9612,3.8688,TIPAdapter-F,1,5
62.0343,3.6783,TIPAdapter-F,2,5
73.5554,2.3373,TIPAdapter-F,4,5
78.2474,1.073,TIPAdapter-F,8,5
79.8973,1.0439,TIPAdapter-F,16,5
80.4989,1.0965,TIPAdapter-F,16,10
76.6208,1.5729,TIPAdapter-F,8,10
71.7486,1.9177,TIPAdapter-F,4,10
62.0899,2.2244,TIPAdapter-F,2,10
53.2619,3.0974,TIPAdapter-F,1,10
42.5094,5.5181,LinearProbe_P2,1,10
56.9093,2.5875,LinearProbe_P2,2,10
64.4987,2.3681,LinearProbe_P2,4,10
71.9815,1.6295,LinearProbe_P2,8,10
77.3473,1.0922,LinearProbe_P2,16,10
80.7689,1.0611,LinearProbe_P2,16,10
74.0344,1.3393,LinearProbe_P2,8,10
66.7584,2.5651,LinearProbe_P2,4,10
57.2898,2.5985,LinearProbe_P2,2,10
42.5711,5.5665,LinearProbe_P2,1,10
42.6278,5.5455,LinearProbe_P2,1,10
57.2542,2.5697,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
57.2898,2.5985,LinearProbe_P2,2,10
80.7689,1.0611,LinearProbe_P2,16,10
80.8395,0.908,LinearProbe_P2,16,10
80.8395,0.908,LinearProbe_P2,16,10
80.7689,1.0611,LinearProbe_P2,16,10
81.1045,0.9957,LinearProbe_P2,16,10
74.6043,1.1102,LinearProbe_P2,8,10
74.2045,1.3214,LinearProbe_P2,8,10
74.0536,1.3507,LinearProbe_P2,8,10
73.7362,1.3306,LinearProbe_P2,8,10
74.4071,1.1536,LinearProbe_P2,8,10
68.8059,2.6014,LinearProbe_P2,4,10
60.7536,2.1322,LinearProbe_P2,2,10
50.1947,4.9576,LinearProbe_P2,1,10
50.6295,4.6876,LinearProbe_P2,1,10
60.9455,2.309,LinearProbe_P2,2,10
67.9899,2.24,LinearProbe_P2,4,10
72.1602,1.2845,LinearProbe_P2,8,10
77.8708,0.9687,LinearProbe_P2,16,10
81.0514,0.8863,LinearProbe_P2,16,5
75.4107,1.4813,LinearProbe_P2,8,5
75.4107,1.4813,LinearProbe_P2,8,5
71.2636,2.5769,LinearProbe_P2,4,5
60.9801,3.2107,LinearProbe_P2,2,5
49.8926,3.2447,LinearProbe_P2,1,5
50.2778,3.8284,LinearProbe_P2,1,5
61.423,3.6466,LinearProbe_P2,2,5
70.1523,2.1805,LinearProbe_P2,4,5
72.4027,2.0333,LinearProbe_P2,8,5
77.6347,0.8716,LinearProbe_P2,16,5
59.1241,2.1974,TIPAdapter-F,1,5
65.3675,2.4555,TIPAdapter-F,2,5
74.4506,2.2919,TIPAdapter-F,4,5
78.3566,0.9549,TIPAdapter-F,8,5
80.0685,1.5862,TIPAdapter-F,16,5
80.7033,1.1657,TIPAdapter-F,16,10
76.5947,1.704,TIPAdapter-F,8,10
72.9901,1.7635,TIPAdapter-F,4,10
65.2006,1.7029,TIPAdapter-F,2,10
60.1273,1.6374,TIPAdapter-F,1,10
69.2346,0.7333,TIPAdapter-F,16,10
58.9696,1.4818,TIPAdapter-F,8,10
48.7778,0.795,TIPAdapter-F,4,10
41.8118,0.6328,TIPAdapter-F,2,10
39.4529,0.3461,TIPAdapter-F,1,10
39.4101,0.3837,TIPAdapter-F,1,5
41.9059,0.6985,TIPAdapter-F,2,5
49.3641,1.0381,TIPAdapter-F,4,5
58.7924,2.7987,TIPAdapter-F,8,5
69.755,1.108,TIPAdapter-F,16,5
42.7854,5.7166,LinearProbe,1,5
60.1505,4.6601,LinearProbe,2,5
68.2257,3.8898,LinearProbe,4,5
75.5498,1.5576,LinearProbe,8,5
80.9708,1.1109,LinearProbe,16,5
46.0409,2.7215,COOP,1,5
51.3884,4.2791,COOP,2,5
63.819,4.1414,COOP,4,5
71.6652,1.5841,COOP,8,5
76.3886,1.1577,COOP,16,5
52.3457,1.8678,ClipAdapter,1,5
57.099,2.052,ClipAdapter,2,5
64.9602,2.2661,ClipAdapter,4,5
72.3321,2.1239,ClipAdapter,8,5
78.4386,0.625,ClipAdapter,16,5
