acc,std,method,batch_size,num_shots,tasks
58.0282,8.3797,COOP,32,1,5
86.4672,0.5146,COOP,32,8,5
68.2362,8.2872,ClipAdapter,32,1,5
84.9826,0.9947,TIPAdapter-F,256,4,5
75.9444,2.9001,LinearProbe_P2,32,1,5
91.578,0.7461,LinearProbe_P2,32,16,5
0.9215,0.0066,LinearProbe,32,16,5
0.8911,0.0078,LinearProbe,32,8,5
0.8544,0.0086,LinearProbe,32,4,5
0.7921,0.0211,LinearProbe,32,2,5
0.7084,0.0297,LinearProbe,32,1,5
67.5998,5.5003,KGCOOP,32,1,5
77.0004,3.4351,KGCOOP,32,2,5
85.8376,1.1176,KGCOOP,32,4,5
86.2388,1.7805,KGCOOP,32,8,5
90.4062,0.7225,KGCOOP,32,16,5
64.912,22.2001,COCOOP,32,1,5
94.204,4.5723,COCOOP,32,2,5
61.9294,6.2924,COCOOP,32,1,5
73.5392,3.6825,COCOOP,32,2,5
82.191,2.6413,COCOOP,32,4,5
87.0248,0.7055,COCOOP,32,8,5
89.2922,1.5395,COCOOP,32,16,5
